Date,time,close,quote,H_L,H_C,C_L,avg_c10_filt,avg_vol10_filt
2001/1/4,945,5060,-89,89,80,9,0.965,0.699
2001/1/4,1045,5130,65,68,-1,69,0.959,1.26
2001/1/4,1145,5105,-25,50,30,20,0.97,1.294
2001/1/4,1245,5128,18,33,7,26,0.97,1.83
2001/1/4,1345,5121,-8,52,54,-2,0.976,0.935
2001/1/5,945,5170,20,72,23,49,0.973,0.726
2001/1/5,1045,5140,-31,55,40,15,0.984,1.054
2001/1/5,1145,5175,33,40,1,39,0.982,1.412
2001/1/5,1245,5225,49,110,42,68,0.978,0.77
2001/1/5,1345,5340,116,119,-11,130,0.963,0.94
2001/1/8,945,5265,-25,46,21,25,0.979,0.846
2001/1/8,1045,5303,43,82,16,66,0.976,1.078
2001/1/8,1145,5320,15,58,28,30,0.976,1.034
2001/1/8,1245,5281,-39,77,77,0,0.987,1.233
2001/1/8,1345,5196,-84,100,78,22,1.006,0.696
2001/1/9,945,5269,48,81,36,45,0.994,0.766
2001/1/9,1045,5290,29,40,15,25,0.992,1.23
2001/1/9,1145,5276,-19,70,64,6,0.997,0.8
2001/1/9,1245,5316,41,85,14,71,0.991,0.927
2001/1/9,1345,5400,84,109,19,90,0.978,0.815
2001/1/10,945,5380,0,59,39,20,0.983,0.966
2001/1/10,1045,5364,-19,68,57,11,0.988,1.346
2001/1/10,1145,5400,40,93,15,78,0.983,1.172
2001/1/10,1245,5417,17,74,32,42,0.981,1.057
2001/1/10,1345,5408,-12,82,32,50,0.985,0.99
2001/1/11,945,5420,-2,58,50,8,0.987,1.075
2001/1/11,1045,5451,28,59,24,35,0.984,1.486
2001/1/11,1145,5410,-41,102,84,18,0.995,0.964
2001/1/11,1245,5331,-79,99,86,13,1.012,0.707
2001/1/11,1345,5340,14,35,15,20,1.01,1.026
2001/1/12,945,5309,-76,108,84,24,1.016,0.952
2001/1/12,1045,5309,-1,38,21,17,1.015,1.395
2001/1/12,1145,5301,-4,39,24,15,1.015,2.287
2001/1/12,1245,5261,-42,49,48,1,1.021,1.66
2001/1/12,1345,5378,113,107,-13,120,0.996,0.986
2001/1/15,945,5282,-38,56,44,12,1.012,1.362
2001/1/15,1045,5287,5,23,13,10,1.009,2.81
2001/1/15,1145,5288,0,26,15,11,1.005,3.248
2001/1/15,1245,5330,36,56,17,39,0.995,1.32
2001/1/15,1345,5407,77,108,23,85,0.981,0.746
2001/1/16,945,5516,92,163,33,130,0.963,0.804
2001/1/16,1045,5682,153,204,30,174,0.938,0.769
2001/1/16,1145,5678,-4,65,12,53,0.946,1.062
2001/1/16,1245,5685,4,49,21,28,0.951,1.958
2001/1/16,1345,5746,61,60,2,58,0.948,1.217
2001/1/17,945,5718,-106,70,52,18,0.962,1.406
2001/1/17,1045,5777,57,81,16,65,0.959,2.905
2001/1/17,1145,5722,-61,108,86,22,0.977,2.826
2001/1/17,1245,5775,50,53,3,50,0.976,3.545
2001/1/17,1345,5802,25,59,17,42,0.979,1.203
2001/1/18,945,5801,-29,90,59,31,0.986,0.432
2001/1/18,1045,5863,61,82,25,57,0.98,0.489
2001/1/18,1145,5870,6,70,60,10,0.982,0.485
2001/1/18,1245,5910,40,80,0,80,0.979,0.58
2001/1/18,1345,5949,48,65,1,64,0.976,0.547
2001/1/29,945,5905,-17,88,33,55,0.985,0.885
2001/1/29,1045,5936,34,70,24,46,0.983,1.217
2001/1/29,1145,5930,-6,52,32,20,0.986,1.44
2001/1/29,1245,5903,-24,64,62,2,0.994,1.574
2001/1/29,1345,5658,-248,250,241,9,1.04,0.645
2001/1/30,945,5770,102,80,-5,85,1.017,1.089
2001/1/30,1045,5680,-99,130,110,20,1.033,0.727
2001/1/30,1145,5604,-85,128,126,2,1.043,0.892
2001/1/30,1245,5700,98,114,4,110,1.021,0.824
2001/1/30,1345,5819,119,150,31,119,0.997,0.689
2001/1/31,945,5888,38,100,42,58,0.984,1.035
2001/1/31,1045,5931,41,48,4,44,0.977,1.098
2001/1/31,1145,5908,-24,124,81,43,0.98,0.802
2001/1/31,1245,5960,59,80,0,80,0.971,1.281
2001/1/31,1345,5951,-13,80,69,11,0.974,0.842
2001/2/1,945,5940,0,68,29,39,0.98,1.468
2001/2/1,1045,5906,-42,68,42,26,0.989,1.284
