,0,1,2
"[[72, 23, 49, '0.973', '0.726'], [72, 23, 49, '0.973', '0.726'], [72, 23, 49, '0.973', '0.726'], [72, 23, 49, '0.973', '0.726'], [72, 23, 49, '0.973', '0.726']]",140.290804123,113.457426856,111.836439094
"[[55, 40, 15, '0.984', '1.054'], [55, 40, 15, '0.984', '1.054'], [55, 40, 15, '0.984', '1.054'], [55, 40, 15, '0.984', '1.054'], [55, 40, 15, '0.984', '1.054']]",158.124908607,139.938773036,132.986858356
"[[40, 1, 39, '0.982', '1.412'], [40, 1, 39, '0.982', '1.412'], [40, 1, 39, '0.982', '1.412'], [40, 1, 39, '0.982', '1.412'], [40, 1, 39, '0.982', '1.412']]",179.355001581,158.6383714,144.570090807
"[[110, 42, 68, '0.978', '0.77'], [110, 42, 68, '0.978', '0.77'], [110, 42, 68, '0.978', '0.77'], [110, 42, 68, '0.978', '0.77'], [110, 42, 68, '0.978', '0.77']]",203.806104392,202.750121345,171.743824691
"[[119, -11, 130, '0.963', '0.94'], [119, -11, 130, '0.963', '0.94'], [119, -11, 130, '0.963', '0.94'], [119, -11, 130, '0.963', '0.94'], [119, -11, 130, '0.963', '0.94']]",223.872789736,231.526848017,191.336774013
"[[46, 21, 25, '0.979', '0.846'], [46, 21, 25, '0.979', '0.846'], [46, 21, 25, '0.979', '0.846'], [46, 21, 25, '0.979', '0.846'], [46, 21, 25, '0.979', '0.846']]",226.224387753,247.977971027,204.12817617
"[[82, 16, 66, '0.976', '1.078'], [82, 16, 66, '0.976', '1.078'], [82, 16, 66, '0.976', '1.078'], [82, 16, 66, '0.976', '1.078'], [82, 16, 66, '0.976', '1.078']]",211.317813734,242.923544068,195.988746616
"[[58, 28, 30, '0.976', '1.034'], [58, 28, 30, '0.976', '1.034'], [58, 28, 30, '0.976', '1.034'], [58, 28, 30, '0.976', '1.034'], [58, 28, 30, '0.976', '1.034']]",219.071694883,236.996269301,208.060677151
"[[77, 77, 0, '0.987', '1.233'], [77, 77, 0, '0.987', '1.233'], [77, 77, 0, '0.987', '1.233'], [77, 77, 0, '0.987', '1.233'], [77, 77, 0, '0.987', '1.233']]",206.392629427,231.152059881,208.46967404
"[[100, 78, 22, '1.006', '0.696'], [100, 78, 22, '1.006', '0.696'], [100, 78, 22, '1.006', '0.696'], [100, 78, 22, '1.006', '0.696'], [100, 78, 22, '1.006', '0.696']]",194.254181853,225.907250211,203.648614035
