,-1,0,1,2
"[ -4.90000000e+01   5.00000000e+01   4.00000000e+01   1.00000000e+01
   1.04000000e+00   4.97000000e-01   5.10000000e+03]",-4.84892357631,-6.46858635323,-12.8454603263,31.4069170699
"[-49.0, 50.0, 40.0, 10.0]",0.769303456014,4.62098110812,45.6927657446,3.67727405643
"[-25.0, 54.0, 30.0, 24.0]",30.6854002872,-1.01651748004,-0.300832472278,6.3980846673
"[35.0, 63.0, 24.0, 39.0]",-1.82184726758,1.16450417007,-1.42746619543,-2.68953348503
"[-3.0, 40.0, 17.0, 23.0]",-0.165383221079,0.350800973125,-17.784753052,-15.0441578095
"[46.0, 44.0, -6.0, 50.0]",0.605685563186,-2.63231379645,-6.19496497451,-6.83789192521
"[-39.0, 54.0, 54.0, 0.0]",-1.57991607471,-2.55284909359,-14.3584761017,-16.3426474552
"[15.0, 30.0, 5.0, 25.0]",-4.234747166,-7.99690174657,-20.5302128131,-17.7755571743
"[-16.0, 72.0, 44.0, 28.0]",-29.7625571569,-29.764856626,-29.933565197,-30.0255318803
"[-7.0, 30.0, 15.0, 15.0]",-36.6292450875,-36.8944281031,-36.7456078178,-36.9087782077
"[39.0, 40.0, -4.0, 44.0]",-46.5335053841,-46.600217161,-48.1640153535,-49.1974355337
"[52.0, 79.0, 35.0, 44.0]",-59.9201190344,-60.7260382456,-66.5013959537,-61.8614712302
"[107.0, 125.0, 0.0, 125.0]",-69.7886120969,-70.9871880531,-71.519909724,-71.9436636974
"[-23.0, 15.0, 8.0, 7.0]",-71.9481827695,-72.3663078469,-74.7849882383,-73.8668530975
"[-25.0, 46.0, 46.0, 0.0]",-69.2167738212,-71.689448201,-76.7034600703,-72.4942273085
"[107.0, 103.0, -7.0, 110.0]",-65.7193912799,-71.0792843264,-77.6670880811,-82.6785628249
"[-22.0, 56.0, 21.0, 35.0]",-56.4171819466,-61.7143825171,-68.1852383649,-67.5816153395
"[-90.0, 118.0, 114.0, 4.0]",-47.4577040566,-47.4578106406,-39.109733769,-50.670703666
"[-47.0, 69.0, 47.0, 22.0]",2.00903303524,-36.3410884936,-35.5067152896,-35.1482770568
"[22.0, 25.0, 8.0, 17.0]",-38.1795316135,-28.3028017541,-40.3802621657,-42.9865959436
"[45.0, 81.0, 16.0, 65.0]",-27.1408773223,-38.1786575655,-43.0922262623,-42.120984982
"[39.0, 75.0, 11.0, 64.0]",-39.7947270186,-36.4802661726,-41.5399806659,-42.4235806505
"[-52.0, 77.0, 54.0, 23.0]",-36.7623315634,-35.115743212,-43.9479383517,-37.0796581094
"[52.0, 75.0, 25.0, 50.0]",-29.4795029151,-40.8868821367,-46.4618798997,-48.7859710713
"[80.0, 108.0, 19.0, 89.0]",-49.2049963014,-34.3130515065,-50.9864804829,-64.636241921
"[5.0, 40.0, 28.0, 12.0]",-27.7542468537,-22.3517640658,-28.770301141,-34.0961274982
"[15.0, 61.0, 21.0, 40.0]",-58.0618457314,-54.8688712918,-59.2974004505,-55.7310285228
"[-50.0, 83.0, 55.0, 28.0]",-52.175338779,-48.6569634185,-58.1187121932,-53.981042314
"[30.0, 65.0, 40.0, 25.0]",-46.3101136122,-39.7916660793,-51.6707850575,-47.4401064653
"[-10.0, 91.0, 83.0, 8.0]",-30.9532459188,-33.8534375121,-40.9802460727,-41.1258789974
"[38.0, 70.0, 32.0, 38.0]",-24.2236839285,-24.8343911982,-41.0524594079,-37.6628044522
"[28.0, 20.0, 7.0, 13.0]",-18.5945647754,-23.0382033543,-29.691910488,-32.5966101252
"[-18.0, 58.0, 36.0, 22.0]",-12.3028804658,-12.6584591069,-34.6451144905,-33.7982602073
"[53.0, 74.0, 9.0, 65.0]",-8.38354252805,-8.77773795325,-9.92998628169,-10.5559835538
"[-112.0, 103.0, 118.0, -15.0]",-5.29983835184,-3.68497577672,-5.00985153541,-5.13539690197
"[-36.0, 57.0, 48.0, 9.0]",-0.121297479099,4.54829236025,6.00879340151,4.74793703945
